Date	Open	High	Low	Close	Adj Close	Volume
Oct 18, 2024	2.1500	2.2370	1.3300	1.4100	1.4100	1,442,500
Oct 17, 2024	2.1800	2.1800	2.1080	2.1300	2.1300	39,700
Oct 16, 2024	1.9900	2.1800	1.9420	2.1800	2.1800	188,100
Oct 15, 2024	1.9100	1.9900	1.8800	1.9800	1.9800	43,000
Oct 14, 2024	2.0400	2.0400	1.8400	1.8700	1.8700	43,200
Oct 11, 2024	1.8600	1.9400	1.8500	1.9100	1.9100	26,000
Oct 10, 2024	1.9000	1.9700	1.8900	1.9300	1.9300	28,700
Oct 09, 2024	1.8400	2.0000	1.6800	1.9900	1.9900	113,900
Oct 08, 2024	1.7200	1.7800	1.6500	1.7500	1.7500	61,300
Oct 07, 2024	1.8000	1.8200	1.7010	1.7400	1.7400	43,300
Oct 04, 2024	1.8550	1.8800	1.7600	1.8200	1.8200	59,200
Oct 03, 2024	1.9780	1.9780	1.8550	1.8700	1.8700	27,200
Oct 02, 2024	1.9500	2.0200	1.8500	1.8900	1.8900	79,100
Oct 01, 2024	2.1000	2.1000	1.9700	2.0600	2.0600	52,300
Sep 30, 2024	2.0400	2.1000	2.0200	2.0800	2.0800	55,900
Sep 27, 2024	2.1000	2.1000	2.0170	2.0600	2.0600	39,400
Sep 26, 2024	2.1800	2.1960	1.8800	1.9700	1.9700	201,700
Sep 25, 2024	2.1000	2.2590	2.0400	2.1000	2.1000	136,400
Sep 24, 2024	2.0800	2.1100	1.9600	2.0400	2.0400	106,800
Sep 23, 2024	2.0500	2.0700	1.9600	1.9600	1.9600	65,500
Sep 20, 2024	2.0500	2.1000	1.8530	2.0600	2.0600	155,200
Sep 19, 2024	1.9700	2.0600	1.9000	2.0100	2.0100	153,100
Sep 18, 2024	1.9400	1.9700	1.8200	1.8200	1.8200	97,500
Sep 17, 2024	1.8300	1.9900	1.7390	1.8500	1.8500	109,100
Sep 16, 2024	1.7700	1.7900	1.7200	1.7300	1.7300	14,000
Sep 13, 2024	1.7500	1.7500	1.6600	1.7400	1.7400	24,000
Sep 12, 2024	1.7300	1.7450	1.6200	1.6500	1.6500	47,000
Sep 11, 2024	1.4100	1.8700	1.3800	1.7800	1.7800	316,600
Sep 10, 2024	1.4200	1.4480	1.3800	1.3900	1.3900	13,800
Sep 09, 2024	1.3100	1.3900	1.3000	1.3900	1.3900	34,500
Sep 06, 2024	1.3700	1.3700	1.3050	1.3200	1.3200	47,900
Sep 05, 2024	1.4000	1.4000	1.3600	1.3850	1.3850	13,200
Sep 04, 2024	1.3700	1.4200	1.3100	1.4000	1.4000	108,100
Sep 03, 2024	1.4000	1.4900	1.3300	1.3900	1.3900	74,700
Aug 30, 2024	1.5200	1.5300	1.4200	1.5000	1.5000	108,600
Aug 29, 2024	1.5600	1.5910	1.5300	1.5500	1.5500	34,700
Aug 28, 2024	1.6060	1.6500	1.5290	1.5800	1.5800	58,300
Aug 27, 2024	1.6500	1.6790	1.6200	1.6200	1.6200	25,700
Aug 26, 2024	1.7000	1.7400	1.6100	1.6900	1.6900	44,200
Aug 23, 2024	1.7200	1.7500	1.6700	1.7230	1.7230	29,500
Aug 22, 2024	1.7500	1.7900	1.7200	1.7400	1.7400	17,200
Aug 21, 2024	1.7250	1.7700	1.7200	1.7400	1.7400	18,100
Aug 20, 2024	1.7200	1.7700	1.6500	1.7100	1.7100	35,700
Aug 19, 2024	1.8300	1.8430	1.6900	1.7700	1.7700	58,500
Aug 16, 2024	1.7300	1.8500	1.7250	1.8100	1.8100	45,700
Aug 15, 2024	1.8000	1.8000	1.7000	1.7300	1.7300	82,700
Aug 14, 2024	1.7600	1.7900	1.6600	1.7800	1.7800	71,900
Aug 13, 2024	1.6700	1.7800	1.6500	1.7200	1.7200	51,600
Aug 12, 2024	1.8000	1.8000	1.6000	1.8000	1.8000	104,200
Aug 09, 2024	1.7500	1.7800	1.6800	1.7800	1.7800	31,900
Aug 08, 2024	1.8000	1.9800	1.6100	1.7600	1.7600	139,800
Aug 07, 2024	1.7800	1.8020	1.6010	1.7200	1.7200	137,800
Aug 06, 2024	1.7100	2.4100	1.7100	1.8000	1.8000	232,100
Aug 05, 2024	1.8000	1.9900	1.6500	1.6500	1.6500	349,700
Aug 02, 2024	1.5700	1.7800	1.2500	1.7300	1.7300	1,383,900
Aug 01, 2024	2.4100	2.4800	2.3600	2.3800	2.3800	44,100
Jul 31, 2024	2.3400	2.5700	2.3400	2.4900	2.4900	46,900
Jul 30, 2024	2.6200	2.6900	2.3600	2.3900	2.3900	111,000
Jul 29, 2024	2.6900	2.7500	2.5900	2.6300	2.6300	118,200
Jul 26, 2024	2.8100	2.8100	2.6600	2.7100	2.7100	115,700
Jul 25, 2024	2.8000	2.8000	2.5600	2.6800	2.6800	145,900
Jul 24, 2024	2.7500	2.9890	2.7000	2.8200	2.8200	238,800
Jul 23, 2024	2.6400	2.7500	2.5300	2.6700	2.6700	127,000
Jul 22, 2024	2.6000	2.6590	2.4000	2.5300	2.5300	73,000
Jul 19, 2024	2.4700	2.5270	2.3970	2.4500	2.4500	16,600
Jul 18, 2024	2.3400	2.6700	2.3400	2.5000	2.5000	75,000
Jul 17, 2024	2.3900	2.4750	2.2800	2.3500	2.3500	95,100
Jul 16, 2024	2.5800	2.5900	2.4000	2.4300	2.4300	119,900
Jul 15, 2024	2.5600	2.6200	2.4800	2.5300	2.5300	46,100
Jul 12, 2024	2.4900	2.7000	2.4500	2.5600	2.5600	219,900
Jul 11, 2024	2.5000	2.5000	2.3600	2.4400	2.4400	69,700
Jul 10, 2024	2.5900	2.6600	2.4100	2.5000	2.5000	174,800
Jul 09, 2024	2.5100	2.6600	2.4700	2.5400	2.5400	347,100
Jul 08, 2024	2.3500	2.5000	2.2800	2.3700	2.3700	194,200
Jul 05, 2024	2.2000	2.3450	2.1910	2.2700	2.2700	41,800
Jul 03, 2024	2.2000	2.2200	2.1690	2.1700	2.1700	21,500
