Experiment,Model,Param Count,Pretrain Avg Test Loss,Avg Test Loss,Test Accuracy,F1,MCC,Pretrain Total Training time,Pretrain Average Epoch time,Pretrain Average Train time,Pretrain Average Validate time,Pretrain Test time,Pretrain Split,Total Training time,Average Epoch time,Average Train time,Average Validate time,Test time,Cumulative Return,Pred Dist: Sell,Pred Dist: Hold,Pred Dist: Buy
config_target_split_01.yml,IRNN,4003,1.1290579736232758,1.1006337106227875,0.09425403225806452,0.029003950263792783,0.0015282375563635594,0.25656,0.27120882,0.25656,0.014595865,0.0046259520004241494,0.01,1.81285,0.02135631,0.018311616,0.2989239,0.0037159879993851064,-0.25,0.0,0.97637796,0.023622047
config_target_split_01.yml,STT,3275971,1.0631121397018433,1.2054781317710876,0.3777281746031746,0.38794788260926644,-0.05025752118585123,2.7139933,0.9144137,0.90466446,0.029158004,0.00958576599987282,0.01,52.88626,0.18699251,0.17806822,2.6425989,0.009610883000277681,0.0,0.46456692,0.14173229,0.39370078
config_target_split_01.yml,LTCN,7107,0.7334848642349243,0.6014580726623535,0.4094488188976378,0.23789205120309684,0.0,2.3260024,2.3628218,2.3260024,0.03677909,0.037598351999804436,0.01,44.962994,0.4911148,0.45417166,3.6544373,0.0376912670008096,-0.25,0.0,0.0,1.0
config_tgtsym_cycc.yml,IRNN,4003,1.0852763056755066,1.0967414379119873,0.4717741935483871,0.4462021194719081,-0.0009602466906393552,7.2343884,0.09350501,0.09042986,0.24388194,0.0036431700000321143,0.8,0.35095772,0.021565521,0.018471459,0.058310397,0.003521579999869573,0.0,0.62204725,0.0,0.37795275
config_tgtsym_cycc.yml,STT,3275971,1.2632061839103699,1.363150715827942,0.40910218253968256,0.39124932421119707,-0.006718171795789529,214.40593,0.9023975,0.89335805,2.1626406,0.009711454000353115,0.8,10.586039,0.18842891,0.17942439,0.52974933,0.00990376799927617,-0.020000000000000018,0.6535433,0.23622048,0.11023622
config_tgtsym_cycc.yml,LTCN,7107,0.6912263631820679,0.6073794364929199,0.5354330708661418,0.373430244296386,0.0,134.48723,2.316199,2.2794445,2.1665733,0.0372894060001272,0.59,18.497889,0.48798016,0.451168,1.5081731,0.03692866300025344,0.06000000000000005,1.0,0.0,0.0
config_tgtsym_vtak.yml,IRNN,4003,1.1012358665466309,1.103782445192337,0.29158266129032256,0.3126857062201412,0.03326025185691576,7.1477013,0.09238739,0.08934627,0.24127722,0.0036301449999882607,0.8,0.34791225,0.021355908,0.01831117,0.0573789,0.0035326110000823974,0.1299999999999999,0.28346458,0.54330707,0.17322835
config_tgtsym_vtak.yml,STT,3275971,1.397436499595642,1.450976848602295,0.27504960317460314,0.2701136461649991,-0.081572851371112,214.98912,0.9049397,0.895788,2.189899,0.009877718000097957,0.8,10.618866,0.18913788,0.17998078,0.5387264,0.009861989000455651,0.43999999999999995,0.51968503,0.4566929,0.023622047
config_tgtsym_vtak.yml,LTCN,7107,0.6973098516464233,0.6436979174613953,0.49606299212598426,0.3289680895151264,0.0,134.3503,2.3139102,2.2771237,2.168491,0.037276883000231464,0.59,18.582731,0.49002615,0.45323735,1.5072241,0.037240724000184855,0.3500000000000001,1.0,0.0,0.0
config_loss_cbfocal.yml,IRNN,4003,0.6164010763168335,0.5451740324497223,0.5035282258064516,0.33771694768520427,0.0,8.0366125,0.1035537,0.10045765,0.24566936,0.0037019689998487593,0.8,0.388852,0.023556389,0.020465896,0.058234,0.0035685869997905684,0.25,1.0,0.0,0.0
