Experiment,Model,Param Count,Pretrain Avg Test Loss,Avg Test Loss,Test Accuracy,F1,MCC,Pretrain Total Training time,Pretrain Average Epoch time,Pretrain Average Train time,Pretrain Average Validate time,Pretrain Test time,Total Training time,Average Epoch time,Average Train time,Average Validate time,Test time,Cumulative Return,Pred Dist: Sell,Pred Dist: Hold,Pred Dist: Buy
config_tgtsym_bivi.yml,rnn,4003,1.0758051574230194,1.0968427062034607,0.5035282258064516,0.36340778258332684,0.01594634048394635,9.275085,0.120791316,0.11593857,0.3832295,0.014881209000009221,0.56513304,0.034284223,0.029743845,0.08499861,0.004604460999985349,0.25,0.96850395,0.0,0.031496063
config_tgtsym_bivi.yml,transformer,3275971,0.6483554840087891,0.6786430478096008,0.4496527777777778,0.4082176634941505,-0.0423654598819537,123.5365,0.52364,0.5147354,2.1211257,0.008896579000008842,7.3369274,0.1327061,0.124354705,0.48882604,0.00990167399999109,-0.21999999999999997,0.71653545,0.023622047,0.25984251
config_tgtsym_bivi.yml,lnn,7107,0.7007176876068115,0.5829976201057434,0.5039370078740157,0.33771694768520427,0.0,211.6313,3.6584346,3.5869713,4.211125,0.06633627600001546,35.941578,0.94634384,0.87662387,2.8548582,0.06776936500000375,0.25,1.0,0.0,0.0
config_tgtsym_vtak.yml,rnn,4003,1.0974852740764618,1.0998907685279846,0.2923387096774194,0.22498409855699195,0.03974275305157795,8.960127,0.116494134,0.11200158,0.35437542,0.005177875999947901,0.5814269,0.035307832,0.030601418,0.08810798,0.006339487000104782,-0.33999999999999997,0.015748031,0.44094488,0.54330707
config_tgtsym_vtak.yml,transformer,3275971,0.8585887253284454,0.8223631978034973,0.37785218253968256,0.33471296857123634,-0.09245359712549862,119.95563,0.5082739,0.4998151,2.0149672,0.008387664999986555,7.1168513,0.1285667,0.1206246,0.4651206,0.008256482999968284,0.42999999999999994,0.7322835,0.15748031,0.11023622
config_tgtsym_vtak.yml,lnn,7107,0.7036813497543335,0.6482863426208496,0.49606299212598426,0.3289680895151264,0.0,208.805,3.6109197,3.5390677,4.234153,0.0742374540000128,35.5174,0.936278,0.866278,2.8662271,0.0654303929999287,0.3500000000000001,1.0,0.0,0.0
config_loss_ce.yml,rnn,4003,1.0719203054904938,1.097486823797226,0.5113407258064516,0.4784692236051139,0.07681602710978529,11.767931,0.15193422,0.14709914,0.38150653,0.004961578000006739,0.5589291,0.033816043,0.029417321,0.08244258,0.004786601999967388,0.42999999999999994,0.6771653,0.0,0.32283464
config_loss_ce.yml,transformer,3275971,1.2432737946510315,1.3222914338111877,0.43266369047619047,0.4194364522529618,0.08153406767957332,144.58241,0.61054647,0.6024267,1.9338408,0.008998170000040773,7.211341,0.13016152,0.12222612,0.46464834,0.008064641000146366,0.6599999999999999,0.6456693,0.2519685,0.10236221
config_loss_ce.yml,lnn,7107,1.0966756343841553,1.0983957052230835,0.49606299212598426,0.36056387639336324,-0.015041693190209045,249.63376,4.2991943,4.2310805,4.0141478,0.06482887499987555,32.57611,0.857401,0.7945393,2.5744169,0.06238579499995467,0.1299999999999999,0.9527559,0.0,0.047244094
config_target_split_82.yml,rnn,4003,1.1028356850147247,1.1001918315887451,0.2512600806451613,0.20692895315796367,0.07646007218539275,10.230915,0.12882642,0.12476726,0.3283183,0.004418079999823021,0.4676793,0.030126197,0.025982182,0.073575005,0.0054503310000200145,0.3400000000000001,0.0,0.5826772,0.41732284
