trial_id,symbol,seq_len,batch_size,d_model,lr,fc_dim,fc_dropout,k,num_encoders,num_heads,num_lstm_layers,lstm_dim,optimizer,scheduler,criterion,epochs,test_loss,test_loss_avg,test_acc,test_f1,time_idx,test_pred_dist,mlp_dropout,mlp_dim,ignore_cols
0,atnf,2,64,64,0.0001,1024,0.1,64,2,8,2,256,adam,plateau,cb_focal,100,1.0953653454780579,0.5476826727390289,0.4765625,0.3793522509578544,"[6, 7, 8]","[0.883, 0.07, 0.047]",0.3,1024,[0]
1,atnf,3,64,64,0.0001,1024,0.1,64,2,8,2,256,adam,plateau,cb_focal,100,1.1778304874897003,0.5889152437448502,0.4296875,0.38819444444444445,"[6, 7, 8]","[0.18, 0.102, 0.719]",0.3,1024,[0]
2,atnf,4,64,64,0.0001,1024,0.1,64,2,8,2,256,adam,plateau,cb_focal,100,0.9016132950782776,0.4508066475391388,0.3542906746031746,0.3807986080391636,"[6, 7, 8]","[0.402, 0.307, 0.291]",0.3,1024,[0]
3,atnf,5,64,64,0.0001,1024,0.1,64,2,8,2,256,adam,plateau,cb_focal,100,1.1164430379867554,0.5582215189933777,0.4296875,0.41641264060370375,"[6, 7, 8]","[0.421, 0.032, 0.548]",0.3,1024,[0]
4,atnf,6,64,64,0.0001,1024,0.1,64,2,8,2,256,adam,plateau,cb_focal,100,1.0313105285167694,0.5156552642583847,0.42817540322580644,0.4340901469622117,"[6, 7, 8]","[0.333, 0.135, 0.532]",0.3,1024,[0]
5,atnf,7,64,64,0.0001,1024,0.1,64,2,8,2,256,adam,plateau,cb_focal,100,0.897289514541626,0.448644757270813,0.38936491935483875,0.41707434390361214,"[6, 7, 8]","[0.46, 0.254, 0.286]",0.3,1024,[0]
6,atnf,8,64,64,0.0001,1024,0.1,64,2,8,2,256,adam,plateau,cb_focal,100,0.7509079873561859,0.37545399367809296,0.39642137096774194,0.42724940684124363,"[6, 7, 8]","[0.413, 0.222, 0.365]",0.3,1024,[0]
7,atnf,9,64,64,0.0001,1024,0.1,64,2,8,2,256,adam,plateau,cb_focal,100,0.7391731142997742,0.3695865571498871,0.41280241935483875,0.41802244190303894,"[6, 7, 8]","[0.548, 0.167, 0.286]",0.3,1024,[0]
8,atnf,10,64,64,0.0001,1024,0.1,64,2,8,2,256,adam,plateau,cb_focal,100,0.971383810043335,0.4856919050216675,0.48361895161290325,0.4605785007940895,"[6, 7, 8]","[0.341, 0.008, 0.651]",0.3,1024,[0]
9,atnf,11,64,64,0.0001,1024,0.1,64,2,8,2,256,adam,plateau,cb_focal,100,1.1789710521697998,0.5894855260848999,0.5302254098360656,0.5075948739148408,"[6, 7, 8]","[0.424, 0.0, 0.576]",0.3,1024,[0]
