Date 	Open 	High 	Low 	Close 	Adj Close 	Volume
Oct 21, 2024 	4.1000 	7.5000 	2.4100 	2.6300 	2.6300 	145,582,658
Oct 18, 2024 	1.1300 	2.8800 	1.0900 	2.3500 	2.3500 	50,823,300
Oct 17, 2024 	1.1200 	1.1300 	1.1000 	1.1200 	1.1200 	84,700
Oct 16, 2024 	1.1200 	1.1300 	1.0700 	1.1300 	1.1300 	163,600
Oct 15, 2024 	1.1600 	1.1700 	1.0700 	1.1000 	1.1000 	221,900
Oct 14, 2024 	1.2000 	1.2050 	1.1200 	1.1400 	1.1400 	166,200
Oct 11, 2024 	1.1900 	1.1900 	1.1600 	1.1800 	1.1800 	81,900
Oct 10, 2024 	1.1900 	1.2470 	1.1600 	1.1700 	1.1700 	72,900
Oct 9, 2024 	1.2600 	1.2880 	1.1920 	1.2100 	1.2100 	118,600
Oct 8, 2024 	1.2300 	1.3000 	1.2000 	1.2900 	1.2900 	302,100
Oct 7, 2024 	1.2100 	1.2300 	1.1600 	1.2000 	1.2000 	97,300
Oct 4, 2024 	1.1800 	1.2000 	1.1500 	1.1900 	1.1900 	113,700
Oct 3, 2024 	1.2000 	1.2000 	1.1500 	1.1800 	1.1800 	126,400
Oct 2, 2024 	1.1600 	1.2200 	1.1500 	1.1900 	1.1900 	105,000
Oct 1, 2024 	1.2200 	1.2250 	1.1500 	1.1500 	1.1500 	175,400
Sep 30, 2024 	1.1800 	1.2400 	1.1600 	1.2000 	1.2000 	147,900
Sep 27, 2024 	1.1500 	1.2200 	1.1300 	1.2000 	1.2000 	268,500
Sep 26, 2024 	1.2100 	1.2500 	1.0900 	1.1100 	1.1100 	582,700
Sep 25, 2024 	1.2700 	1.2900 	1.2000 	1.2000 	1.2000 	415,200
Sep 24, 2024 	1.3900 	1.4100 	1.0400 	1.1800 	1.1800 	2,866,700
Sep 23, 2024 	2.7600 	2.8900 	2.7600 	2.8000 	2.8000 	342,100
Sep 20, 2024 	2.8300 	2.9700 	2.6700 	2.7600 	2.7600 	85,500
Sep 19, 2024 	3.0000 	3.0000 	2.8000 	2.8300 	2.8300 	72,100
Sep 18, 2024 	2.9800 	3.0400 	2.8900 	2.9000 	2.9000 	32,300
Sep 17, 2024 	3.1100 	3.1100 	2.8500 	2.9500 	2.9500 	49,200
Sep 16, 2024 	3.2600 	3.2800 	3.0210 	3.1300 	3.1300 	44,000
Sep 13, 2024 	3.2000 	3.2200 	2.9500 	3.1600 	3.1600 	34,000
Sep 12, 2024 	2.8900 	3.3400 	2.8100 	3.1700 	3.1700 	120,600
Sep 11, 2024 	2.7200 	2.8900 	2.6500 	2.8900 	2.8900 	41,600
Sep 10, 2024 	2.5900 	2.7800 	2.5100 	2.7400 	2.7400 	43,100
Sep 9, 2024 	2.5200 	2.6200 	2.4500 	2.5400 	2.5400 	18,500
