Date	Open	High	Low 	Close	Adj Close	Volume
Oct 21, 2024 	1.2800 	1.4400 	1.2100 	1.3200 	1.3200 	2,389,523
Oct 18, 2024 	1.0600 	1.9900 	1.0400 	1.1400 	1.1400 	14,379,600
Oct 17, 2024 	1.0500 	1.1900 	0.9500 	1.0100 	1.0100 	932,100
Oct 16, 2024 	0.8600 	1.0500 	0.8600 	0.9900 	0.9900 	207,100
Oct 15, 2024 	0.8200 	0.8700 	0.7900 	0.8100 	0.8100 	30,800
Oct 14, 2024 	0.8000 	0.8200 	0.7900 	0.8000 	0.8000 	19,900
Oct 11, 2024 	0.8000 	0.8100 	0.7600 	0.8000 	0.8000 	19,800
Oct 10, 2024 	0.8100 	0.8100 	0.7500 	0.8000 	0.8000 	23,800
Oct 9, 2024 	0.9100 	0.9400 	0.7700 	0.8000 	0.8000 	134,900
Oct 8, 2024 	0.9400 	0.9400 	0.8800 	0.8900 	0.8900 	33,600
Oct 7, 2024 	0.9100 	0.9800 	0.9100 	0.9400 	0.9400 	19,300
Oct 4, 2024 	0.9300 	0.9800 	0.9000 	0.9100 	0.9100 	13,200
Oct 3, 2024 	0.9300 	0.9800 	0.9000 	0.9200 	0.9200 	20,000
Oct 2, 2024 	0.9600 	0.9700 	0.9300 	0.9300 	0.9300 	11,500
Oct 1, 2024 	1.0000 	1.0300 	0.9500 	0.9500 	0.9500 	25,100
Sep 30, 2024 	1.0100 	1.0200 	0.9800 	0.9900 	0.9900 	30,800
Sep 27, 2024 	1.0000 	1.0500 	1.0000 	1.0300 	1.0300 	15,900
Sep 26, 2024 	1.0400 	1.0800 	1.0000 	1.0000 	1.0000 	40,200
Sep 25, 2024 	1.0500 	1.1300 	1.0100 	1.0200 	1.0200 	85,000
Sep 24, 2024 	1.0000 	1.0300 	0.9900 	1.0300 	1.0300 	13,900
Sep 23, 2024 	0.9900 	1.0300 	0.9900 	0.9900 	0.9900 	45,200
Sep 20, 2024 	1.0200 	1.0600 	0.9800 	0.9800 	0.9800 	48,700
Sep 19, 2024 	1.0500 	1.0600 	0.9800 	1.0200 	1.0200 	20,400
